entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:慈幼:ㄘ2-ㄧㄡ4,慈幼,ㄘ2 ㄧㄡ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN|PROPN,avalent,2,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:演戲:ㄧㄢ3-ㄒㄧ4,演戲,ㄧㄢ3 ㄒㄧ4,base,,VERB,intransitive,1,moe-concised,single-reading,absent,tier-3,weak-1-2,predicate,,,
word:漢:ㄏㄢ4,漢,ㄏㄢ4,base,grammarEvidence,PROPN,avalent,1,moe-concised,single-reading,absent,tier-3,strong-10-plus,non-predicate,,,
word:盡忠:ㄐㄧㄣ4-ㄓㄨㄥ1,盡忠,ㄐㄧㄣ4 ㄓㄨㄥ1,base,,VERB,adpositional-complement,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:種:ㄓㄨㄥ3,種,ㄓㄨㄥ3,floor,readingSupport|heteronym|cedict,NOUN|PART|VERB,avalent|intransitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:種:ㄓㄨㄥ4,種,ㄓㄨㄥ4,floor,readingSupport,NOUN|PART|VERB,avalent|intransitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:稱:ㄔㄣ4,稱,ㄔㄣ4,floor,heteronym|cedict,NOUN|VERB,adpositional-complement|avalent|clausal-complement|open-clausal-complement|transitive,2,no-projection,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:稱:ㄔㄥ4,稱,ㄔㄥ4,floor,heteronym|cedict,NOUN|VERB,adpositional-complement|avalent|clausal-complement|open-clausal-complement|transitive,2,no-projection,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:管子:ㄍㄨㄢ3-ㄗ5,管子,ㄍㄨㄢ3 ㄗ5,floor,heteronym|cedict,NOUN,avalent,1,no-projection,multi-reading,ambiguous-records,tier-3,weak-1-2,non-predicate,,,
word:臺:ㄊㄞ2,臺,ㄊㄞ2,base,commonness|grammarEvidence,PART|PROPN,avalent,2,moe-concised,single-reading,absent,tier-2,moderate-3-9,non-predicate,,,
word:蓉:ㄖㄨㄥ2,蓉,ㄖㄨㄥ2,base,,PROPN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:語調:ㄩ3-ㄉㄧㄠ4,語調,ㄩ3 ㄉㄧㄠ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:說:ㄕㄨㄛ1,說,ㄕㄨㄛ1,floor,readingSupport,NOUN|PART|VERB,adpositional-complement|ambitransitive|avalent|clausal-complement|intransitive|open-clausal-complement|transitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:說:ㄕㄨㄟ4,說,ㄕㄨㄟ4,floor,readingSupport,NOUN|PART|VERB,adpositional-complement|ambitransitive|avalent|clausal-complement|intransitive|open-clausal-complement|transitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:噁心:ㄜ3-ㄒㄧㄣ1,噁心,ㄜ3 ㄒㄧㄣ1,base,readingSupport|commonness|predicate,ADJ,intransitive,1,moe-concised,single-reading,absent,tier-3,weak-1-2,predicate,,,
